cfo,7 acc,13 acc,avg acc
0,100,93,96.5
8.74262e-05,100,87,93.5
0.000134082,100,72,86
0.000227577,100,84,92
0.00024355,100,98,99
0.000266692,100,99,99.5
0.000290676,100,99,99.5
0.000365815,100,100,100
0.000461078,100,100,100
0.000528568,100,100,100
0.000563968,100,100,100
0.000619666,100,100,100
0.000642513,100,100,100
0.000735488,100,100,100
0.000768793,100,100,100
0.000859862,100,100,100
0.000923196,100,100,100
0.001002,100,100,100
0.00106625,99,100,99.5
0.00112212,99,100,99.5
0.00119906,100,100,100
0.00120785,99,100,99.5
0.00127666,100,100,100
0.00132758,100,100,100
0.00139475,100,100,100
0.00139609,100,100,100
0.00145667,100,100,100
0.00149655,100,100,100
0.0015133,100,100,100
0.00156274,100,100,100
0.00165393,100,100,100
0.00171783,100,100,100
0.00175744,100,100,100
0.00175901,100,100,100
0.00183746,100,100,100
0.00186689,99,100,99.5
0.0019069,99,100,99.5
0.00194228,100,100,100
0.00194547,100,100,100
0.00201023,100,100,100
0.00203457,100,100,100
0.00205126,98,100,99
0.00209001,100,100,100
0.00213778,100,100,100
0.00217747,100,100,100
0.00221388,100,100,100
0.0022796,100,100,100
0.0022977,100,100,100
0.00238345,100,100,100
0.00239127,100,100,100
0.00244994,100,100,100
0.00253624,100,100,100
0.00263461,100,100,100
0.00265215,99,100,99.5
0.00265867,100,100,100
0.00267243,100,100,100
0.00268954,100,100,100
0.00271925,99,100,99.5
0.00277838,100,100,100
0.00278313,99,100,99.5
0.0028347,98,100,99
0.00288674,99,100,99.5
0.00295132,98,100,99
0.00301394,99,100,99.5
0.00309737,100,100,100
0.0031575,100,100,100
0.00318441,98,100,99
0.00322561,99,100,99.5
0.00325166,99,100,99.5
0.00330898,100,100,100
0.00335116,99,100,99.5
0.00341726,100,100,100
0.00342322,100,100,100
0.00347112,99,100,99.5
0.00350374,100,100,100
0.00352994,99,100,99.5
0.00362545,100,100,100
0.00369006,100,100,100
0.00374916,100,100,100
0.0038306,99,100,99.5
0.00385715,100,100,100
0.00394152,100,100,100
0.00403714,100,100,100
0.00410324,99,100,99.5
0.0041953,100,100,100
0.00419622,100,100,100
0.0042718,100,100,100
0.00433401,100,100,100
0.00437636,100,100,100
0.0043956,99,100,99.5
0.00443316,100,100,100
0.00447954,100,100,100
0.00455603,100,100,100
0.00457039,100,100,100
0.0045801,100,100,100
0.00466266,100,100,100
0.0047568,100,100,100
0.00482361,100,100,100
0.00485895,100,100,100
0.0049588,100,100,100
