cfo,7 snr=0,13 snr=0,7 snr=100,13 snr=100
0,0.29699,0.2937,0.058524,0.33698
5.4667e-06,0.29951,0.29519,0.075954,0.32458
6.8775e-06,0.29494,0.29731,0.04409,0.32352
1.589e-05,0.29701,0.30178,0.11474,0.32799
2.0634e-05,0.29505,0.29855,0.11927,0.3082
2.3849e-05,0.29457,0.29763,0.045626,0.32281
2.7725e-05,0.29957,0.29823,0.07146,0.32438
3.1841e-05,0.29613,0.30278,0.10828,0.30347
4.091e-05,0.29712,0.29695,0.13605,0.3105
4.5865e-05,0.3017,0.29396,0.060773,0.32284
4.8615e-05,0.29473,0.30055,0.077405,0.31005
4.93e-05,0.29865,0.30134,0.10365,0.31698
5.4456e-05,0.29866,0.30052,0.10754,0.31043
6.2984e-05,0.29543,0.30265,0.090996,0.30497
6.5056e-05,0.29881,0.29529,0.10176,0.31284
6.7873e-05,0.29964,0.29817,0.0632,0.30767
7.6902e-05,0.2973,0.29894,0.11573,0.31418
8.0577e-05,0.29592,0.30103,0.093198,0.30799
8.427e-05,0.29608,0.29672,0.12045,0.30657
8.9465e-05,0.29862,0.29586,0.11326,0.31262
9.2695e-05,0.29969,0.29647,0.0992,0.30988
9.9746e-05,0.29971,0.29675,0.12536,0.30934
0.00010349,0.29513,0.30227,0.10335,0.31004
0.00010773,0.29659,0.29865,0.12236,0.30699
0.00011513,0.29913,0.29622,0.13704,0.31018
0.00012226,0.29633,0.29924,0.090498,0.31341
0.00012487,0.29908,0.2983,0.13382,0.29963
0.00012681,0.29769,0.29988,0.10199,0.30556
0.00012781,0.30001,0.29627,0.17112,0.30519
0.00013307,0.29988,0.29865,0.097385,0.29179
0.00013473,0.29468,0.30047,0.12073,0.29513
0.00014461,0.29408,0.29702,0.091239,0.31001
0.0001539,0.29967,0.29982,0.13309,0.29112
0.00016272,0.29764,0.30121,0.10463,0.29348
0.00016498,0.29693,0.29458,0.13871,0.30735
0.00017166,0.29779,0.2959,0.10974,0.30252
0.00017442,0.29858,0.30105,0.15502,0.30749
